customer_id,gender,agecat,edcat,jobcat,empcat,retire,income,creddebt,othdebt,jobsat,marital,spousedcat,residecat,homeown,hometype,addresscat,default
4448-YMVXC,M,4,2,1,5,1,47,1.48755,2.03745,2,1,2,2,1,4,3,0
1483-DLXKI,F,1,2,1,1,0,23,1.253799,.609201,1,1,3,4,0,2,1,0
4708-FTPXU,M,1,2,6,1,0,19,.120156,1.171844,1,0,-1,1,1,1,1,0
4257-NGGGF,M,3,1,2,2,0,27,.901125,1.123875,1,1,1,3,1,1,3,0
1369-IWMAU,F,1,2,2,1,0,24,.494208,.369792,1,1,3,6,1,3,1,0
2165-MLBNO,F,2,2,3,3,0,29,.40774,1.79626,4,1,3,2,1,1,3,0
6343-GIKIY,M,2,2,1,2,0,81,2.036826,3.309174,4,0,-1,1,1,1,2,0
1088-UFAMR,F,2,2,2,2,0,29,4.215179,1.323821,3,1,1,5,1,1,2,1
5343-WGIBD,F,2,2,2,2,0,41,3.695904,2.208096,3,1,2,4,1,1,2,1
0103-SNNGM,F,1,1,1,2,0,24,.6996,.5004,5,1,1,2,0,2,1,0
8570-DKAWM,F,4,2,3,4,1,19,1.540064,1.043936,2,0,-1,1,0,2,3,0
5271-QAFPI,F,2,1,5,5,0,148,.261812,8.766188,2,0,-1,1,1,1,3,0
8198-FJHRS,M,1,2,2,1,0,31,1.060944,1.822056,2,1,2,4,0,2,1,0
5418-NCAFC,M,1,2,6,3,0,27,.307314,.826686,2,0,-1,1,1,1,1,0
7025-PUNWU,F,4,1,6,5,1,10,.3906,.8494,4,1,2,2,1,4,3,0
5682-DBMYL,M,3,2,2,3,0,36,1.583172,2.268828,4,0,-1,1,1,1,3,0
2062-NTLTI,M,1,1,6,3,0,37,.528286,3.837714,3,0,-1,4,0,2,1,0
6168-YAXLV,F,4,1,2,3,1,14,.679616,1.616384,4,0,-1,1,0,2,2,1
4527-MWZZU,F,3,1,1,4,0,104,4.08096,5.27904,4,0,-1,1,0,2,3,0
1332-NUHMS,F,3,3,1,4,0,434,9.83444,14.03556,5,1,3,2,1,1,3,0
4936-WBXKU,F,4,1,2,2,1,13,.65156,1.67544,1,1,1,2,0,2,3,0
6838-YIBDU,F,4,1,3,5,1,23,.6164,1.2236,5,0,-1,1,1,3,3,0
6095-ABDYW,F,4,2,1,5,0,124,6.28494,12.93506,5,0,-1,1,1,1,3,0
6857-YCASG,M,3,3,3,5,0,282,3.2148,13.7052,5,1,2,2,1,3,3,0
5029-NMGWP,M,1,1,5,2,0,23,.400292,.473708,5,1,1,3,1,1,1,0
1926-HYOIF,F,2,2,1,2,0,47,.13348,.33652,2,1,2,5,0,2,1,0
3033-JUYJV,M,3,2,6,5,0,68,1.28248,1.84552,3,1,1,2,0,2,3,0
8414-XTAKJ,M,2,2,5,5,0,67,.754152,1.121848,4,0,-1,3,0,2,2,0
3088-MNIMU,F,3,1,2,3,0,62,.215698,2.822302,5,0,-1,1,0,2,3,0
0480-OTXQB,M,2,1,1,3,0,39,3.152838,3.321162,3,0,-1,3,1,3,2,0
3688-YSGWK,F,4,3,3,5,1,9,.090882,.206118,4,1,2,2,1,1,3,0
5029-LKMYQ,F,2,3,3,3,0,217,2.787148,33.885852,4,1,3,5,0,2,2,0
5221-KHLEA,M,1,2,1,1,0,43,2.3392,3.1648,1,1,2,3,1,2,1,1
6945-TQTIY,M,4,1,4,5,1,117,8.191872,6.784128,5,0,-1,1,1,1,3,0
3733-WPAAY,M,2,1,6,4,0,27,.25164,.82836,4,1,1,2,1,1,2,0
0856-NMWAD,M,1,1,6,3,0,38,.02261,.24339,4,0,-1,3,1,3,2,0
1826-OLLQZ,M,4,1,6,5,1,9,.2367,.2133,4,1,1,2,0,2,3,0
8477-GOOBE,M,3,1,1,3,0,40,.2376,2.4024,4,0,-1,1,1,3,2,0
4231-UBNCC,F,4,1,3,5,0,77,.97328,5.10972,4,0,-1,2,1,1,3,0
2053-UIHHT,M,4,2,2,5,1,11,.124344,.667656,5,0,-1,1,1,1,2,0
6913-KFQUH,M,2,1,2,2,0,31,.79856,2.76644,3,0,-1,1,0,2,2,1
3641-LWINB,F,3,2,2,3,0,53,1.64512,1.74688,4,1,2,5,1,1,3,0
9994-KAIAL,F,1,2,5,1,0,12,.382956,.781044,3,1,2,5,0,2,1,0
7709-GCDJD,F,2,3,6,3,0,104,1.234272,3.237728,3,1,3,4,1,3,2,0
