sex,region,happy,sibs,age
2,1,1,1,61
2,1,2,2,32
1,1,1,2,35
2,1,9,2,26
2,1,2,4,25
1,1,2,7,59
1,1,1,7,46
2,1,2,7,99
2,1,2,7,57
2,1,2,1,64
1,1,2,6,72
2,1,1,2,67
1,1,2,1,33
1,1,2,2,23
2,1,2,7,33
2,1,1,6,59
1,1,2,4,60
1,1,1,6,77
2,1,2,12,52
1,1,1,5,55
2,1,1,2,37
2,1,2,7,45
2,1,3,4,34
2,1,3,7,35
2,1,2,6,35
1,1,3,7,47
2,1,3,4,24
2,1,2,5,28
1,1,1,1,57
1,1,1,1,44
2,1,2,7,75
2,1,2,0,58
1,1,2,2,49
1,1,1,2,22
2,1,1,0,44
1,1,2,1,48
2,1,3,4,23
1,1,1,1,56
2,1,2,5,25
2,3,2,2,78
2,3,2,3,37
1,3,1,10,60
2,3,1,1,30
1,3,2,1,21
2,3,1,0,65
1,3,2,2,64
1,3,2,6,31
2,3,2,2,64
1,3,1,1,39
2,3,2,1,29
2,3,3,5,57
1,3,2,1,35
1,3,3,8,22
1,3,1,3,35
1,3,2,4,43
2,3,1,3,35
2,3,2,2,70
1,3,3,3,49
2,3,2,2,21
2,3,1,12,34
1,3,3,4,34
1,3,3,2,33
2,3,2,6,31
2,3,3,10,50
2,3,3,3,48
2,3,3,8,46
2,3,3,5,36
2,3,3,4,34
2,3,2,4,22
2,3,3,5,71
2,3,1,9,37
2,3,2,8,67
1,3,1,2,61
2,3,2,0,50
1,3,3,10,49
2,3,3,1,65
1,3,1,3,39
2,3,2,1,80
2,3,1,5,47
2,3,2,8,61
2,3,2,2,54
2,3,1,4,28
1,3,2,2,59
1,3,2,1,25
2,3,3,3,77
2,3,2,1,33
1,3,2,0,43
1,3,2,2,23
1,3,2,7,20
2,3,3,6,28
2,3,2,1,36
2,3,3,2,36
2,3,2,7,30
1,3,2,4,44
2,3,2,4,37
2,3,1,11,35
2,3,2,4,38
2,3,1,3,24
2,1,2,5,38
2,1,3,4,58
2,1,2,1,31
2,1,2,6,71
1,1,1,1,54
2,1,2,0,68
1,1,2,3,33
1,1,2,6,30
1,1,2,14,71
2,1,1,3,22
2,1,1,13,72
2,1,2,3,40
1,1,2,4,43
1,1,3,0,51
1,1,2,5,31
2,1,9,10,56
2,1,2,11,85
1,1,3,2,30
2,1,1,1,34
1,1,1,1,35
1,1,2,0,25
1,1,2,7,35
2,1,2,6,42
2,1,2,0,75
2,1,2,4,29
1,1,2,6,60
2,1,2,4,36
2,1,1,8,32
2,1,2,6,34
2,1,2,3,47
2,1,2,1,50
2,1,1,4,46
1,1,3,6,41
2,1,3,1,35
2,1,1,5,33
2,1,2,4,34
2,1,2,5,36
1,1,1,2,26
1,1,9,3,59
1,1,3,5,41
2,1,1,2,44
2,1,1,1,74
2,1,2,0,85
2,1,2,2,71
2,1,2,2,27
2,1,2,5,69
2,1,3,0,20
2,1,2,11,66
1,1,1,0,40
2,1,2,2,35
2,1,2,1,33
1,1,1,5,43
2,1,2,2,35
1,1,3,3,27
1,1,2,2,24
1,1,1,7,64
2,1,2,5,70
1,1,1,2,42
2,1,3,1,53
2,1,2,2,36
1,1,1,3,75
2,1,2,2,42
2,1,2,3,21
2,1,3,2,22
2,1,1,6,42
2,1,3,5,52
1,1,2,1,63
2,1,1,4,56
1,1,1,2,38
2,1,2,3,41
2,1,2,5,70
1,1,2,1,20
1,1,3,5,41
2,1,1,4,69
1,1,2,1,22
2,1,1,6,75
2,1,2,8,73
1,1,3,10,70
1,1,2,3,32
1,1,2,3,36
2,1,2,7,28
2,1,2,3,44
2,1,1,7,32
1,1,1,1,58
2,3,2,5,54
2,3,2,4,22
2,3,1,13,27
2,3,2,2,28
2,3,2,5,31
1,3,2,7,18
2,3,2,3,33
